,Names,Twittername
0,Margrethe Vestager,vestager
1,Lars Løkke Rasmussen,larsloekke
2,Morten Østergaard,oestergaard
3,Pernille Skipper,PSkipperEL
4,Ida Auken,IdaAuken
5,Kristian Jensen,Kristian_Jensen
6,Uffe Elbaek,uffeelbaek
7,Søren Pape Poulsen,SorenPape
8,Pia Olsen Dyhr,PiaOlsen
9,Magnus Heunicke,Heunicke
10,Sofie CarstenNielsen,sofiecn
11,Statsministeriet,Statsmin
12,Regeringen,regeringDK
13,Brian Holm,brianholm1962
14,Simon Emil Ammitzbøll-Bille,ammitzbollbille
15,Dan Jørgensen,DanJoergensen
16,Jakob Ellemann-Jensen,JakobEllemann
17,Denmark MFA 🇩🇰,DanishMFA
18,Mattias Tesfaye,mattiastesfaye
19,Rosenkrantz-Theil,RosenkrantzT
20,Ellen Trane Nørby,EllenTraneNorby
21,Morten Messerschmidt,MrMesserschmidt
22,Frank Jensen,FrankJensenKBH
23,Tommy Ahlers,aahlers
24,Sophie Løhde,sophieloehde
25,Martin Lidegaard,martinlidegaard
26,Karen Melchior😷🧼🇪🇺,karmel80
27,Zenia Stampe,zeniastampe
28,Astrid Krag,Astridkrag
29,Benny Engelbrecht,BennyEngelbrech
30,Peter Hummelgaard,PHummelgaard
31,Rasmus Jarlov,RasmusJarlov
32,Jan E. Jørgensen,JanEJoergensen
33,Karsten Lauritzen,StemLAURITZEN
34,Mogens Jensen,MogensJensenS
35,Mette Abildgaard,metteabildgaard
36,Morten Bødskov,mfMorten
37,Kristian Thulesen Dahl,Kristianthdahl
38,Per Clausen,PerClausen3
39,Rasmus Prehn,RasmusPrehn
40,Jacob Mark,jacobmark_sf
41,Mai Mercado,_MaiMercado
42,Jesper Petersen,Jesper_Pet
43,Nikolaj Villumsen,nvillumsen
44,Trine Bramsen,Trinebramsen
45,Peter Skaarup,skaarup_df
46,Alex Vanopslagh,AlexVanopslagh
47,Henrik Sass,SosseSass
48,Margrete Auken,MargreteAuken
49,Mette Gjerskov,MetteGjerskov
50,Jens Rohde,rohde_jens
51,Lotte Rod,LotteRod
52,Pernille Vermund,PernilleVermund
53,Morten Helveg,mortenhelveg
54,Uddannelses- og Forskningsministeriet,UFM_MIN
55,Søren Espersen,espersendf
56,Ole Birk Olesen,olebirkolesen
57,Pia Kjærsgaard,Pia_Kjaersgaard
58,Rosa Lund,RosaLundEl
59,Lisbeth Bech-Nielsen,LisbethBNielsen
60,rasmus nordqvist 🏳️‍🌈,rasmusnordqvist
61,Sophie H. Andersen,SophieHAndersen
62,Jeppe Kofod,JeppeKofod
63,Ane Halsboe,AneHalsboe
64,Christel Schaldemose,SchaldemoseMEP
65,Morten Løkkegaard,Loekkegaard_MEP
66,Finansministeriet,Finansmin
67,Jakob Engel-Schmidt,engelschmidt
68,Simon Kollerup,simonkollerup
69,Kristian Hegaard,KHegaard
70,Karsten Hønge,khoenge
71,Jens Joel,Jens_Joel
72,Erhvervsministeriet,Erhvervs_min
73,Ulla Tørnæs,Ulla_Tornaes
74,Torsten Schack,Torstenschack
75,Sundheds- og Ældreministeriet,DKsundhed
76,Rasmus Horn Langhoff,rasmushorn
77,Michael Aastrup Jensen,michaelaastrup
78,Naser Khader,naserkhaderdk
79,Peter Kofod(DF),KofodPeter
80,Miljø &amp; Fødevaremin.,MFVMin
81,Liselott Blixt,Blixt22
82,Troels Lund Poulsen,troelslundp
83,Lars Chr. Lilleholt,larsclilleholt
84,Nicolai Wammen,NWammen
85,Henrik Dahl,SociologenHD
86,Andreas Steenberg,a_steenberg
87,Niko Grünfeld,nikogrunfeld
88,Lea Wermelin,LeaWermelin
89,Stinus Lindgreen,stinuslindgreen
90,Kaare Dybvad,KaareDybvad
91,Benedikte Kiær,benediktekiaer
92,Jacob Bundsgaard,JBundsgaard
93,Kåre Traberg Smidt,kaaretraberg
94,Karen Ellemann,EllemannKaren
95,Laura Lindahl,lauralindahl
96,Marianne Jelved,mariannejelved
97,EU-Parlamentet i DK,EPiDanmark
98,Kulturministeriet,Kulturmin
99,Forsvarsministeriet/Danish MoD,Forsvarsmin
100,Bertel Haarder,BHaarder
101,Mads Fuglede,madsfuglede
102,Klimaministeriet,KlimaMin
103,Rasmus Helveg,rasmushelveg
104,Joymogensen,Joymogensen
105,Samira Nawa,SamiraNawa
106,Børne- og Undervisningsministeriet,UVM_dk
107,Marie Krarup,MarieKrarup
108,Hans Andersen,HansAndersenV
109,Kira M. Peter-Hansen,Kira_MPH
110,Jane Heitmann,JaneHeitmann
111,Lone Loklindt,LoneLoklindt
112,Christina Krzyrosiak Hansen,CKrzyrosiak
113,Villy Søvndal,villysoevndal
114,Fatma Øktem,fatmaoektem
115,Jacob Jensen,jacobjensenMF
116,Torsten Gejl,TorstenGejl
117,Morten Dahlin,MortenDahlin
118,Michael Ziegler,Mich_Ziegler
119,Pernille Weiss,WeissPernille
120,Kenneth K. Berth,Kristensenberth
121,Signe Munk,signe_munk
122,Stephanie Lose,stephanie_lose
123,Carl Valentin,Carl__Valentin
124,Kirsten Normann,KirstenNormann
125,Trine Schøning Torp,TrineTorp
126,Eva Kjer Hansen,EvaKjerHansen
127,Karina Lorentzen D.,MF_K_Lorentzen
128,Camilla Schwalbe,CamillaSchwalbe
129,Jeppe Bruus,JeppeBruus
130,Thomas Danielsen,ThDanielsen
131,Kr. Pihl Lorentzen,kplorentzen
132,Louise Schack Elholm,LouiseElholm
133,Simon Pihl Sørensen,Simonpihl
134,Dennis Flydtkjær,flydtkjaer
135,Sikandar Siddique,SikandaSIDDIQUE
136,Britt Bager,brittbager
